,,"Cured Graphite Paint, 1 m2, 1 micron [Item(s)]","de-ionised water [kg]","Conductive Graphite Paint [kg]","Electricity, at grid, US, 2000 [kWh]","Natural Graphite, Asia [kg]","Ammonia, steam reforming, liquid, at plant [kg]","Gasoline, combusted in equipment [m3]","Natural gas, combusted in industrial boiler [m3]","Diesel, combusted in industrial boiler [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, processed, for olefins production, at plant [kg]","Electricity, at grid, US, 2008 [kWh]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]","Natural gas, at extraction site [m3]"
,,"","Materials production / Water","","","","","","","","","","","","","","","","","","",""
"Ammonia [kg]","air / unspecified",0.010970045,2.5836999776543264E-8,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Residual fuel oil, at refinery [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8155E-9,0.0
"Electricity, bituminous coal, at power plant [kWh]","",0.0,0.0,0.0,-1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6649751068293641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, nuclear, at power plant [kWh]","",0.0,0.0,0.0,-0.7776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7045586711934948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, at wind power plant, unspecified [kWh]","",0.0,0.0,0.0,-0.00576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04838271410354544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, liquid, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015219604476086892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, hydropower, at power plant, unspecified [kWh]","",0.0,0.0,0.0,-0.28008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2172060547416702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.680708335029032E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, other fuels, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035947650496524373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, other gases, unspecified,  at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010230829346202085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, biogenic MSW, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007075926316384705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, Natural Gas, at power plant [kWh]","",0.0,0.0,0.0,-0.6228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7716511147081897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, gas, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.488556759333677E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, petroleum coke, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012519006583352327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, gas, landfill, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006254042337885672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, agriculture by-products, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.79177269173844E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, residual fuel oil, at power plant [kWh]","",0.0,0.0,0.0,-0.1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020440034230226868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, tire derived fuel, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010636470288676045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, geothermal, unspecified [kWh]","",0.0,0.0,0.0,-0.014436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013066225943698656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, liquid, sludge, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6152557516763732E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, MSW, non-biogenic, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005559673749794388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, lignite coal, at power plant [kWh]","",0.0,0.0,0.0,-0.10332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07044891859707625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, diesel, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006654809433571738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
